B [T],	H [A/m]
0.0000,	0.0000
0.0500,	19.9653
0.1000,	29.9063
0.1500,	36.3988
0.2000,	41.3717
0.2500,	45.5903
0.3000,	49.4249
0.3500,	53.0823
0.4000,	56.6927
0.4500,	60.3474
0.5000,	64.1176
0.5500,	68.0648
0.6000,	72.2464
0.6500,	76.7209
0.7000,	81.5511
0.7500,	86.8080
0.8000,	92.5745
0.8500,	98.9515
0.9000,	106.0650
0.9500,	114.0778
1.0000,	123.2069
1.0500,	133.7534
1.1000,	146.1517
1.1500,	161.0587
1.2000,	179.5166
1.2500,	203.2679
1.3000,	235.3797
1.3500,	281.5249
1.4000,	352.6484
1.4500,	470.4262
1.5000,	677.4515
1.5500,	1051.0680
1.6000,	1703.2752
1.6500,	2726.5180
1.7000,	4137.9811
1.7500,	5832.6197
1.8000,	7939.5529
1.8500,	10565.2943
1.9000,	13843.9130
1.9500,	17970.3597
2.0000,	23423.7764
2.0500,	32234.3260
2.1000,	51366.7790
2.1500,	84577.8435
2.2000,	121162.4933
2.2500,	160127.8128
2.3000,	202470.2822
